Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,42,DAL,Mavericks,2022-01-14,MEM,112,85,Grizzlies,111.4,84.6,100.5,Away,1
2022,43,DAL,Mavericks,2022-01-15,ORL,108,92,Magic,116.9,99.6,92.4,Home,1
2022,44,DAL,Mavericks,2022-01-17,OKC,104,102,Thunder,105.8,103.7,98.3,Home,1
2022,45,DAL,Mavericks,2022-01-19,TOR,102,98,Raptors,110.1,105.8,92.6,Home,1
2022,46,DAL,Mavericks,2022-01-20,PHO,101,109,Suns,102.0,110.1,99.0,Home,0
2022,47,DAL,Mavericks,2022-01-23,MEM,104,91,Grizzlies,109.1,95.5,95.3,Home,1
2022,48,DAL,Mavericks,2022-01-25,GSW,92,130,Warriors,93.1,131.5,98.8,Away,0
2022,49,DAL,Mavericks,2022-01-26,POR,132,112,Trail Blazers,133.1,113.0,99.1,Away,1
2022,50,DAL,Mavericks,2022-01-29,IND,132,105,Pacers,133.4,106.1,98.9,Home,1
2022,51,DAL,Mavericks,2022-01-30,ORL,108,110,Magic,110.8,112.9,97.5,Away,0
2022,52,DAL,Mavericks,2022-02-02,OKC,114,120,Thunder,113.8,119.8,90.7,Home,0
2022,53,DAL,Mavericks,2022-02-04,PHI,107,98,76ers,119.6,109.5,89.5,Home,1
2022,54,DAL,Mavericks,2022-02-06,ATL,103,94,Hawks,108.0,98.6,95.3,Home,1
2022,55,DAL,Mavericks,2022-02-08,DET,116,86,Pistons,121.1,89.8,95.8,Home,1
2022,56,DAL,Mavericks,2022-02-10,LAC,112,105,Clippers,118.4,111.0,94.6,Home,1
2022,57,DAL,Mavericks,2022-02-12,LAC,97,99,Clippers,104.3,106.4,93.0,Home,0
2022,58,DAL,Mavericks,2022-02-15,MIA,107,99,Heat,123.1,113.9,86.9,Away,1
2022,59,DAL,Mavericks,2022-02-17,NOP,125,118,Pelicans,131.9,124.6,94.7,Away,1
2022,60,DAL,Mavericks,2022-02-25,UTA,109,114,Jazz,118.3,123.7,92.1,Away,0
2022,61,DAL,Mavericks,2022-02-27,GSW,107,101,Warriors,110.1,104.0,97.2,Away,1
2022,62,DAL,Mavericks,2022-03-01,LAL,109,104,Lakers,112.6,107.4,96.8,Away,1
2022,63,DAL,Mavericks,2022-03-03,GSW,122,113,Warriors,133.5,123.7,91.4,Home,1
2022,64,DAL,Mavericks,2022-03-05,SAC,114,113,Kings,114.9,113.9,99.2,Home,1
2022,65,DAL,Mavericks,2022-03-07,UTA,111,103,Jazz,118.6,110.0,93.6,Home,1
2022,66,DAL,Mavericks,2022-03-09,NYK,77,107,Knicks,84.9,117.9,90.7,Home,0
2022,67,DAL,Mavericks,2022-03-11,HOU,113,100,Rockets,112.8,99.8,100.2,Away,1
2022,68,DAL,Mavericks,2022-03-13,BOS,95,92,Celtics,100.9,97.7,94.2,Away,1
2022,69,DAL,Mavericks,2022-03-16,BRK,113,111,Nets,126.9,124.6,89.1,Away,1
2022,70,DAL,Mavericks,2022-03-18,PHI,101,111,76ers,112.8,123.9,89.6,Away,0
2022,71,DAL,Mavericks,2022-03-19,CHO,108,129,Hornets,110.6,132.2,97.6,Away,0
2022,72,DAL,Mavericks,2022-03-21,MIN,110,108,Timberwolves,115.0,112.9,95.6,Home,1
2022,73,DAL,Mavericks,2022-03-23,HOU,110,91,Rockets,113.3,93.7,97.1,Home,1
2022,74,DAL,Mavericks,2022-03-25,MIN,95,116,Timberwolves,98.6,120.4,96.4,Away,0
2022,75,DAL,Mavericks,2022-03-27,UTA,114,100,Jazz,128.9,113.1,88.4,Home,1
2022,76,DAL,Mavericks,2022-03-29,LAL,128,110,Lakers,138.4,118.9,92.5,Home,1
2022,77,DAL,Mavericks,2022-03-30,CLE,120,112,Cavaliers,125.0,116.6,96.0,Away,1
2022,78,DAL,Mavericks,2022-04-01,WAS,103,135,Wizards,105.9,138.7,97.3,Away,0
2022,79,DAL,Mavericks,2022-04-03,MIL,118,112,Bucks,119.9,113.8,98.4,Away,1
2022,80,DAL,Mavericks,2022-04-06,DET,131,113,Pistons,137.6,118.7,95.2,Away,1
2022,81,DAL,Mavericks,2022-04-08,POR,128,78,Trail Blazers,131.6,80.2,97.2,Home,1
2022,82,DAL,Mavericks,2022-04-10,SAS,130,120,Spurs,132.1,121.9,98.4,Home,1
2022,1,DEN,Nuggets,2021-10-20,PHO,110,98,Suns,110.3,98.3,99.7,Away,1
2022,2,DEN,Nuggets,2021-10-22,SAS,102,96,Spurs,100.7,94.8,101.3,Home,1
2022,3,DEN,Nuggets,2021-10-25,CLE,87,99,Cavaliers,89.0,101.3,97.8,Home,0
2022,4,DEN,Nuggets,2021-10-26,UTA,110,122,Jazz,109.3,121.3,100.6,Away,0
2022,5,DEN,Nuggets,2021-10-29,DAL,106,75,Mavericks,106.5,75.3,99.5,Home,1
2022,6,DEN,Nuggets,2021-10-30,MIN,93,91,Timberwolves,97.9,95.8,95.0,Away,1
2022,7,DEN,Nuggets,2021-11-01,MEM,97,106,Grizzlies,97.7,106.7,99.3,Away,0
2022,8,DEN,Nuggets,2021-11-03,MEM,106,108,Grizzlies,111.3,113.4,95.2,Away,0
2022,9,DEN,Nuggets,2021-11-06,HOU,95,94,Rockets,100.0,99.0,95.0,Home,1
2022,10,DEN,Nuggets,2021-11-08,MIA,113,96,Heat,119.0,101.1,95.0,Home,1
2022,11,DEN,Nuggets,2021-11-10,IND,101,98,Pacers,111.3,108.0,90.7,Home,1
2022,12,DEN,Nuggets,2021-11-12,ATL,105,96,Hawks,111.6,102.0,94.1,Home,1
2022,13,DEN,Nuggets,2021-11-14,POR,124,95,Trail Blazers,137.4,105.3,90.3,Home,1
2022,14,DEN,Nuggets,2021-11-15,DAL,101,111,Mavericks,109.4,120.2,92.3,Away,0
2022,15,DEN,Nuggets,2021-11-18,PHI,89,103,76ers,95.0,110.0,93.7,Home,0
2022,16,DEN,Nuggets,2021-11-19,CHI,108,114,Bulls,113.8,120.1,94.9,Home,0
2022,17,DEN,Nuggets,2021-11-21,PHO,97,126,Suns,98.6,128.0,98.4,Away,0
2022,18,DEN,Nuggets,2021-11-23,POR,100,119,Trail Blazers,107.9,128.4,92.7,Away,0
2022,19,DEN,Nuggets,2021-11-26,MIL,109,120,Bucks,113.1,124.5,96.4,Home,0
2022,20,DEN,Nuggets,2021-11-29,MIA,120,111,Heat,132.2,122.3,90.8,Away,1
2022,21,DEN,Nuggets,2021-12-01,ORL,103,108,Magic,101.6,106.5,101.4,Away,0
2022,22,DEN,Nuggets,2021-12-04,NYK,113,99,Knicks,127.3,111.5,88.8,Away,1
2022,23,DEN,Nuggets,2021-12-06,CHI,97,109,Bulls,98.6,110.8,98.4,Away,0
2022,24,DEN,Nuggets,2021-12-08,NOP,120,114,Pelicans,112.7,107.1,96.4,Away,1
