Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,51,CHI,Bulls,2022-02-03,TOR,120,127,Raptors,112.2,118.7,96.9,Away,0
2022,52,CHI,Bulls,2022-02-04,IND,122,115,Pacers,125.1,117.9,97.5,Away,1
2022,53,CHI,Bulls,2022-02-06,PHI,108,119,76ers,114.0,125.6,94.7,Home,0
2022,54,CHI,Bulls,2022-02-07,PHO,124,127,Suns,126.9,130.0,97.7,Home,0
2022,55,CHI,Bulls,2022-02-09,CHO,121,109,Hornets,125.4,112.9,96.5,Away,1
2022,56,CHI,Bulls,2022-02-11,MIN,134,122,Timberwolves,132.8,120.9,100.9,Home,1
2022,57,CHI,Bulls,2022-02-12,OKC,106,101,Thunder,106.4,101.4,99.6,Home,1
2022,58,CHI,Bulls,2022-02-14,SAS,120,109,Spurs,118.3,107.4,101.5,Home,1
2022,59,CHI,Bulls,2022-02-16,SAC,125,118,Kings,127.7,120.6,97.9,Home,1
2022,60,CHI,Bulls,2022-02-24,ATL,112,108,Hawks,113.8,109.8,98.4,Home,1
2022,61,CHI,Bulls,2022-02-26,MEM,110,116,Grizzlies,105.2,111.0,104.5,Home,0
2022,62,CHI,Bulls,2022-02-28,MIA,99,112,Heat,102.4,115.8,96.7,Away,0
2022,63,CHI,Bulls,2022-03-03,ATL,124,130,Hawks,132.1,138.4,93.9,Away,0
2022,64,CHI,Bulls,2022-03-04,MIL,112,118,Bucks,108.5,114.3,103.2,Home,0
2022,65,CHI,Bulls,2022-03-07,PHI,106,121,76ers,110.5,126.1,95.9,Away,0
2022,66,CHI,Bulls,2022-03-09,DET,114,108,Pistons,115.6,109.5,98.6,Away,1
2022,67,CHI,Bulls,2022-03-12,CLE,101,91,Cavaliers,102.6,92.5,98.4,Home,1
2022,68,CHI,Bulls,2022-03-14,SAC,103,112,Kings,104.0,113.1,99.0,Away,0
2022,69,CHI,Bulls,2022-03-16,UTA,110,125,Jazz,107.9,122.6,101.9,Away,0
2022,70,CHI,Bulls,2022-03-18,PHO,102,129,Suns,108.1,136.7,94.4,Away,0
2022,71,CHI,Bulls,2022-03-21,TOR,113,99,Raptors,124.6,109.2,90.7,Home,1
2022,72,CHI,Bulls,2022-03-22,MIL,98,126,Bucks,99.2,127.5,98.8,Away,0
2022,73,CHI,Bulls,2022-03-24,NOP,109,126,Pelicans,114.0,131.7,95.6,Away,0
2022,74,CHI,Bulls,2022-03-26,CLE,98,94,Cavaliers,108.7,104.3,90.1,Away,1
2022,75,CHI,Bulls,2022-03-28,NYK,104,109,Knicks,108.0,113.2,96.3,Away,0
2022,76,CHI,Bulls,2022-03-29,WAS,107,94,Wizards,116.2,102.1,92.1,Away,1
2022,77,CHI,Bulls,2022-03-31,LAC,135,130,Clippers,125.2,120.5,97.7,Home,1
2022,78,CHI,Bulls,2022-04-02,MIA,109,127,Heat,117.2,136.6,93.0,Home,0
2022,79,CHI,Bulls,2022-04-05,MIL,106,127,Bucks,104.1,124.7,101.9,Home,0
2022,80,CHI,Bulls,2022-04-06,BOS,94,117,Celtics,95.7,119.2,98.2,Home,0
